week_start_date,district,average_temperature,average_rainfall
2017-06-26,Matara,27.37,1.97
2017-07-03,Matara,27.71,3.83
2017-07-10,Matara,27.7,2.19
2017-07-17,Matara,27.26,4.69
2017-07-24,Matara,27.73,3.83
2017-07-31,Matara,26.99,6.6
2017-08-07,Matara,27.01,5.74
2017-08-14,Matara,26.94,5.49
2017-08-21,Matara,27.09,3.97
2017-08-28,Matara,27.05,6.83
2017-09-04,Matara,26.34,11.19
2017-09-11,Matara,26.7,8.56
2017-09-18,Matara,27.24,3.07
2017-09-25,Matara,27.01,5.3
2017-10-02,Matara,26.91,6.43
2017-10-09,Matara,26.39,10.37
2017-10-16,Matara,27.1,4.66
2017-10-23,Matara,26.92,4.9
2017-10-30,Matara,26.17,12.5
2017-11-06,Matara,26.47,15.4
2017-11-13,Matara,26.85,3.86
2017-11-20,Matara,25.66,11.09
2017-11-27,Matara,25.44,32.9
2017-12-04,Matara,25.84,1.04
2017-12-11,Matara,26.34,4.13
2017-12-18,Matara,26.01,0.97
2017-12-25,Matara,26.12,3.91
2018-01-01,Matara,25.41,1.91
2018-01-08,Matara,25.79,4.3
2018-01-15,Matara,25.66,0.66
2018-01-22,Matara,26.03,1.26
2018-01-29,Matara,26.83,5.94
2018-02-05,Matara,26.6,4.69
2018-02-12,Matara,26.82,0.7
2018-02-19,Matara,27.01,1.51
2018-02-26,Matara,27.29,10.06
2018-03-05,Matara,26.62,5.63
2018-03-12,Matara,26.61,7.27
2018-03-19,Matara,27.66,1.73
2018-03-26,Matara,27.43,4.27
2018-04-02,Matara,27.29,7.8
2018-04-09,Matara,27.18,13.44
2018-04-16,Matara,27.25,4.93
2018-04-23,Matara,27.29,8.83
2018-04-30,Matara,27.29,6.74
2018-05-07,Matara,26.72,15.21
2018-05-14,Matara,26.65,17.2
2018-05-21,Matara,26.47,16.39
2018-05-28,Matara,27.57,7.36
2018-06-04,Matara,26.82,10.7
2018-06-11,Matara,27.04,5.83
2018-06-18,Matara,26.78,5.36
2018-06-25,Matara,26.66,6.79
2018-07-02,Matara,26.91,3.77
2018-07-09,Matara,26.42,8.54
2018-07-16,Matara,27.17,2.41
2018-07-23,Matara,27.23,1.03
2018-07-30,Matara,26.7,4.99
2018-08-06,Matara,26.53,4.63
2018-08-13,Matara,26.28,8.67
2018-08-20,Matara,26.87,0.51
2018-08-27,Matara,27.04,2.31
2018-09-03,Matara,27.29,0.7
2018-09-10,Matara,27.74,0.19
2018-09-17,Matara,27.01,9.06
2018-09-24,Matara,26.5,12.26
2018-10-01,Matara,26.28,11.97
2018-10-08,Matara,25.68,9.47
2018-10-15,Matara,26.2,6.09
2018-10-22,Matara,26.12,19.91
2018-10-29,Matara,26.73,6.16
2018-11-05,Matara,26.14,15.6
2018-11-12,Matara,26.44,3.37
2018-11-19,Matara,25.88,13.34
2018-11-26,Matara,26.26,5.76
2018-12-03,Matara,26.16,11.29
2018-12-10,Matara,26.11,0.39
2018-12-17,Matara,25.96,1.49
